Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
Dudley Group,Finance,1566,exploitation de vulnérabilité,2025-04-21 18:40:37.872536,email,503755.85,14,Oui,PatchUrgent
James Group,Éducation,914,ransomware,2025-04-22 02:58:59.806958,RDP exposé,293383.38,14,Oui,MFA
Morales-Jones,Finance,1282,exploitation de vulnérabilité,2025-04-26 15:15:59.091619,RDP exposé,214159.19,24,Oui,
"Mcclain, Miller and Henderson",Technologie,101,account takeover,2025-04-27 16:05:52.401990,clé USB,414408.25,32,Non,AuditSécurité
Blake and Sons,Technologie,507,phishing,2025-04-28 00:12:19.541793,RDP exposé,334563.47,19,Oui,PatchUrgent
James Group,Éducation,914,ddos,2025-04-28 05:35:28.014887,RDP exposé,385572.94,16,Oui,PatchUrgent
"Ross, Robinson and Bright",Transport,1380,phishing,2025-04-28 08:03:57.469101,téléchargement,493428.55,50,Non,AuditSécurité
Abbott-Munoz,Technologie,259,phishing,2025-04-28 17:51:35.898902,site compromis,369248.2,19,Oui,FormationPhishing
Williams and Sons,Finance,228,fuite de données,2025-04-30 07:11:19.246541,clé USB,284327.34,29,Non,PatchUrgent
"Henderson, Ramirez and Lewis",Transport,335,account takeover,2025-05-01 00:05:12.956045,clé USB,222785.92,16,Oui,AuditSécurité
"Reid, Ferguson and Sanchez",Technologie,241,account takeover,2025-05-01 11:13:23.067679,RDP exposé,160179.3,29,Oui,PatchUrgent
Baker and Sons,Éducation,457,malware,2025-05-05 03:56:10.534858,port ouvert,257113.82,25,Oui,PatchUrgent
Wilkerson-Day,Technologie,1199,account takeover,2025-05-05 05:36:50.465029,téléchargement,1349449.06,19,Non,PatchUrgent
"Rodriguez, Figueroa and Sanchez",Transport,1359,fuite de données,2025-05-06 06:26:52.261821,site compromis,46110.88,26,Non,PatchUrgent
"Mcclure, Ward and Lee",Industrie,1166,exploitation de vulnérabilité,2025-05-06 09:27:19.922467,API vulnérable,249207.34,29,Oui,AuditSécurité
Wilkerson-Day,Finance,1199,exploitation de vulnérabilité,2025-05-06 17:16:15.867775,site compromis,690882.74,20,Non,AuditSécurité
"Guzman, Hoffman and Baldwin",Transport,613,intrusion,2025-05-06 22:52:05.522523,clé USB,789649.91,32,Non,AuditSécurité
Davis and Sons,Énergie,1568,fuite de données,2025-05-07 18:41:47.934280,API vulnérable,699155.45,18,Oui,FormationPhishing
"Henderson, Ramirez and Lewis",Technologie,335,phishing,2025-05-08 13:06:57.778655,API vulnérable,312342.36,35,Non,AuditSécurité
"Mcclain, Miller and Henderson",Commerce,101,exploitation de vulnérabilité,2025-05-08 17:04:58.427623,port ouvert,277561.29,29,Non,AuditSécurité
"Reid, Ferguson and Sanchez",Technologie,241,exploitation de vulnérabilité,2025-05-11 08:45:05.609138,téléchargement,844876.38,32,Non,FormationPhishing
"Hoffman, Baker and Richards",Finance,1516,exploitation de vulnérabilité,2025-05-11 22:45:21.299325,email,456953.92,26,Oui,FormationPhishing
"Mcclure, Ward and Lee",Commerce,1166,phishing,2025-05-15 04:10:52.921760,clé USB,340531.66,31,Non,PatchUrgent
Williams and Sons,Santé,228,account takeover,2025-05-16 02:24:12.343053,RDP exposé,961562.04,30,Non,PatchUrgent
Blake and Sons,Santé,507,ransomware,2025-05-16 03:20:41.154589,API vulnérable,163994.94,36,Non,PatchUrgent
Galloway-Wyatt,Commerce,1259,phishing,2025-05-16 23:34:10.361969,téléchargement,781581.88,24,Non,PatchUrgent
"Henderson, Ramirez and Lewis",Commerce,335,ddos,2025-05-17 03:03:57.452329,port ouvert,333525.13,34,Oui,AuditSécurité
Arnold Ltd,Transport,1877,malware,2025-05-17 04:47:12.519684,RDP exposé,264052.21,15,Oui,
Garcia-James,Finance,1558,fuite de données,2025-05-18 06:53:09.664536,site compromis,363463.69,21,Oui,PatchUrgent
"Adams, Zuniga and Wong",Finance,111,malware,2025-05-18 16:25:45.536144,site compromis,201837.28,43,Oui,FormationPhishing
"Flowers, Martin and Kelly",Industrie,115,account takeover,2025-05-19 20:31:41.205190,téléchargement,606262.91,40,Non,AuditSécurité
Galloway-Wyatt,Transport,1259,malware,2025-05-21 18:59:47.277264,téléchargement,62474.15,0,Non,
"Reid, Ferguson and Sanchez",Santé,241,phishing,2025-05-22 23:53:12.596619,téléchargement,146484.82,11,Oui,
Morales-Jones,Éducation,1282,fuite de données,2025-05-23 16:57:25.346861,API vulnérable,196260.37,22,Non,PatchUrgent
Galloway-Wyatt,Santé,1259,fuite de données,2025-05-25 22:34:27.823404,port ouvert,479928.07,32,Oui,AuditSécurité
Galloway-Wyatt,Commerce,1259,phishing,2025-05-25 23:10:12.625051,email,759385.61,23,Non,PatchUrgent
Blair PLC,Transport,1435,account takeover,2025-05-26 01:32:34.379373,port ouvert,248497.98,31,Oui,MFA
Wilkerson-Day,Éducation,1199,ddos,2025-05-28 15:30:09.664262,API vulnérable,145619.93,28,Oui,
"Hoffman, Baker and Richards",Industrie,1516,malware,2025-05-29 11:48:14.588743,port ouvert,1278654.11,16,Non,AuditSécurité
Arnold Ltd,Éducation,1877,intrusion,2025-05-29 16:18:44.104852,RDP exposé,531440.63,38,Oui,MFA
"Mcclure, Ward and Lee",Santé,1166,fuite de données,2025-05-29 21:38:52.274772,site compromis,951178.53,24,Oui,
"Flowers, Martin and Kelly",Commerce,115,malware,2025-05-31 08:21:44.484451,site compromis,198198.73,10,Non,
"Adams, Zuniga and Wong",Transport,111,ddos,2025-06-01 09:32:18.216424,site compromis,209110.34,49,Non,FormationPhishing
Dudley Group,Énergie,1566,phishing,2025-06-04 12:38:56.339633,site compromis,333563.33,30,Non,MFA
Williams and Sons,Santé,228,ransomware,2025-06-05 16:02:05.787015,site compromis,635562.35,20,Non,
Blair PLC,Technologie,1435,account takeover,2025-06-06 19:21:45.310273,port ouvert,152352.23,27,Oui,AuditSécurité
"Gardner, Robinson and Lawrence",Transport,551,account takeover,2025-06-06 22:12:12.785215,email,95938.87,18,Non,PatchUrgent
"Reid, Ferguson and Sanchez",Industrie,241,ddos,2025-06-07 17:05:42.917092,téléchargement,254012.04,7,Non,AuditSécurité
"Ross, Robinson and Bright",Transport,1380,account takeover,2025-06-08 00:07:45.087775,site compromis,390098.93,31,Non,AuditSécurité
"Walter, Edwards and Rios",Commerce,104,intrusion,2025-06-08 09:48:13.994140,API vulnérable,455601.3,40,Non,AuditSécurité
Abbott-Munoz,Commerce,259,ddos,2025-06-09 06:38:10.183406,RDP exposé,754091.41,11,Non,
Blake and Sons,Commerce,507,account takeover,2025-06-09 08:51:31.154083,site compromis,375315.05,29,Oui,AuditSécurité
Doyle Ltd,Commerce,278,account takeover,2025-06-10 04:23:34.269013,API vulnérable,975575.99,25,Oui,FormationPhishing
"Reid, Ferguson and Sanchez",Santé,241,malware,2025-06-10 08:34:22.403427,RDP exposé,981466.22,11,Oui,
"Mcclure, Ward and Lee",Énergie,1166,phishing,2025-06-11 03:16:33.399160,clé USB,516203.87,35,Non,PatchUrgent
Garcia-James,Industrie,1558,fuite de données,2025-06-11 21:04:45.548700,email,507685.37,18,Oui,PatchUrgent
Williams and Sons,Finance,228,ransomware,2025-06-12 01:52:43.395877,site compromis,134536.37,36,Oui,FormationPhishing
"Gardner, Robinson and Lawrence",Transport,551,ransomware,2025-06-12 17:38:12.936506,site compromis,540945.74,46,Non,MFA
"Hoffman, Baker and Richards",Énergie,1516,phishing,2025-06-13 18:55:38.519410,API vulnérable,209209.19,44,Non,PatchUrgent
"Walter, Edwards and Rios",Éducation,104,account takeover,2025-06-13 22:00:43.775815,API vulnérable,106218.69,28,Non,FormationPhishing
Blake and Sons,Transport,507,fuite de données,2025-06-14 00:36:41.536249,API vulnérable,51218.25,40,Oui,
Doyle Ltd,Énergie,278,malware,2025-06-14 06:23:07.982514,port ouvert,359587.26,40,Oui,MFA
Gray-Mayo,Industrie,497,intrusion,2025-06-15 16:15:39.408567,email,33850.6,28,Non,FormationPhishing
Blake and Sons,Énergie,507,fuite de données,2025-06-15 23:39:05.906463,email,118869.99,17,Non,AuditSécurité
Abbott-Munoz,Santé,259,phishing,2025-06-16 15:50:47.320755,email,301461.51,5,Non,AuditSécurité
Garcia-James,Industrie,1558,intrusion,2025-06-16 17:39:22.898248,clé USB,32107.65,44,Oui,
James Group,Technologie,914,intrusion,2025-06-18 03:36:22.640019,API vulnérable,353167.49,9,Non,MFA
"Watts, Robinson and Nguyen",Industrie,526,account takeover,2025-06-18 05:42:21.091522,API vulnérable,186739.37,13,Non,FormationPhishing
Morales-Jones,Transport,1282,intrusion,2025-06-18 18:05:14.136851,API vulnérable,158411.16,1,Oui,PatchUrgent
"Hoffman, Baker and Richards",Santé,1516,phishing,2025-06-21 17:17:15.943325,téléchargement,342932.7,28,Oui,
Wilkerson-Day,Industrie,1199,ransomware,2025-06-24 02:55:04.466476,email,294802.41,22,Non,AuditSécurité
"Snyder, Campos and Callahan",Industrie,1486,malware,2025-06-24 09:10:54.663215,téléchargement,579464.29,27,Non,PatchUrgent
"Hoffman, Baker and Richards",Finance,1516,exploitation de vulnérabilité,2025-06-26 04:38:31.114105,téléchargement,108551.78,40,Non,AuditSécurité
"Flowers, Martin and Kelly",Transport,115,ransomware,2025-06-27 19:14:41.022595,email,891079.5,31,Oui,PatchUrgent
Abbott-Munoz,Technologie,259,fuite de données,2025-06-28 09:27:40.639539,téléchargement,328775.2,23,Non,
Garcia-James,Industrie,1558,malware,2025-06-28 19:54:24.081158,clé USB,798315.74,16,Non,FormationPhishing
"Reid, Ferguson and Sanchez",Finance,241,intrusion,2025-06-29 07:52:56.830377,RDP exposé,192449.16,31,Non,FormationPhishing
Abbott-Munoz,Commerce,259,fuite de données,2025-06-29 11:08:33.574221,site compromis,752762.97,38,Non,PatchUrgent
Morales-Jones,Éducation,1282,intrusion,2025-07-01 05:50:11.082506,port ouvert,517360.73,37,Non,
"Watts, Robinson and Nguyen",Technologie,526,malware,2025-07-02 00:27:28.858292,clé USB,676568.32,27,Non,FormationPhishing
Wilkerson-Day,Finance,1199,ddos,2025-07-02 19:39:29.169500,port ouvert,196964.54,34,Non,PatchUrgent
"Gardner, Robinson and Lawrence",Finance,551,ransomware,2025-07-03 16:03:43.785858,téléchargement,82123.8,26,Oui,AuditSécurité
Williams and Sons,Énergie,228,exploitation de vulnérabilité,2025-07-04 17:47:01.819157,email,279928.2,11,Oui,PatchUrgent
"Reid, Ferguson and Sanchez",Technologie,241,malware,2025-07-05 11:46:17.233062,port ouvert,142175.86,20,Oui,
Doyle Ltd,Éducation,278,ransomware,2025-07-05 18:44:45.131534,RDP exposé,1014307.77,7,Non,AuditSécurité
"Gardner, Robinson and Lawrence",Finance,551,fuite de données,2025-07-07 02:34:44.221619,téléchargement,32612.33,19,Oui,MFA
"Mcclain, Miller and Henderson",Technologie,101,exploitation de vulnérabilité,2025-07-07 07:52:46.186778,RDP exposé,292863.02,30,Non,PatchUrgent
"Henderson, Ramirez and Lewis",Finance,335,ransomware,2025-07-11 05:44:42.219260,RDP exposé,151026.55,20,Non,PatchUrgent
Perez Inc,Transport,1084,intrusion,2025-07-11 13:44:22.074315,site compromis,33018.25,4,Non,MFA
Blair PLC,Industrie,1435,phishing,2025-07-12 22:47:14.247795,port ouvert,25032.74,31,Oui,MFA
James Group,Santé,914,intrusion,2025-07-13 14:54:59.719059,API vulnérable,390967.73,29,Oui,AuditSécurité
"Hoffman, Baker and Richards",Éducation,1516,ransomware,2025-07-13 19:41:59.262750,clé USB,241141.99,36,Oui,FormationPhishing
Blake and Sons,Commerce,507,fuite de données,2025-07-13 20:53:29.242749,API vulnérable,399843.98,16,Oui,MFA
"Reid, Ferguson and Sanchez",Commerce,241,phishing,2025-07-14 00:21:22.035997,port ouvert,134371.52,24,Oui,
"Reid, Ferguson and Sanchez",Commerce,241,account takeover,2025-07-16 11:42:59.635764,téléchargement,166960.1,9,Oui,PatchUrgent
"Adams, Zuniga and Wong",Commerce,111,exploitation de vulnérabilité,2025-07-16 18:34:05.223402,API vulnérable,628829.81,22,Non,AuditSécurité
Williams and Sons,Technologie,228,fuite de données,2025-07-16 20:26:24.243356,clé USB,65555.65,10,Oui,PatchUrgent
"Mcclain, Miller and Henderson",Transport,101,exploitation de vulnérabilité,2025-07-16 22:31:28.847921,site compromis,855154.37,40,Oui,MFA
Williams and Sons,Industrie,228,exploitation de vulnérabilité,2025-07-17 03:13:32.670239,email,1035822.25,14,Oui,AuditSécurité
Wilkerson-Day,Santé,1199,phishing,2025-07-18 03:47:36.413723,API vulnérable,243523.53,20,Oui,FormationPhishing
Galloway-Wyatt,Technologie,1259,account takeover,2025-07-20 05:43:04.628695,RDP exposé,81084.01,21,Oui,
James Group,Santé,914,ransomware,2025-07-20 08:31:59.398264,RDP exposé,509577.13,48,Oui,
Doyle Ltd,Finance,278,intrusion,2025-07-21 01:47:08.490810,téléchargement,95488.37,13,Non,MFA
James Group,Industrie,914,ransomware,2025-07-21 10:59:40.912808,email,123113.65,45,Non,PatchUrgent
Morales-Jones,Finance,1282,ddos,2025-07-28 03:49:42.043641,RDP exposé,105884.55,23,Oui,
"Henderson, Ramirez and Lewis",Commerce,335,ransomware,2025-07-28 19:45:47.852379,téléchargement,112781.35,28,Non,FormationPhishing
Doyle Ltd,Industrie,278,ddos,2025-07-29 02:52:11.959226,site compromis,718102.69,30,Oui,MFA
"Walter, Edwards and Rios",Éducation,104,exploitation de vulnérabilité,2025-07-30 16:00:55.588254,RDP exposé,414774.8,29,Non,AuditSécurité
"Rodriguez, Figueroa and Sanchez",Transport,1359,ddos,2025-07-31 09:49:21.123840,API vulnérable,361539.64,20,Non,AuditSécurité
